0 up to 3 years of age,291098,persons
4 years of age,73887,persons
5 years of age,75778,persons
6 years of age,76246,persons
7 up to 9 years of age,243514,persons
10 up to 14 years of age,466608,persons
15 up to 19 years of age,464110,persons
15 up to 17 years of age,277074,persons
18 up to 19 years of age,187036,persons
20 up to 24 years of age,508746,persons
25 up to 29 years of age,551477,persons
30 up to 39 years of age,992815,persons
40 up to 49 years of age,876347,persons
50 up to 59 years of age,759865,persons
60 years of age or over,939955,persons
Total,6320446,persons
